medium , 6 , pmapsum2 , 19 , 19 , 1 , 1.3 , 1.0m
medium , 1 , simple loop , 24 , 24 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 24 , 24 , 1 , 1.19 , 432.0k
medium , 4 , mapreduce , 24 , 24 , 1 , 1.13 , 438.2k
medium , 5 , pmapsum1 , 24 , 24 , 1 , 29.62 , 15.4m
medium , 6 , pmapsum2 , 24 , 24 , 1 , 1.34 , 1.1m
bad , 1 , simple loop , 1 , 1 , 1 , 0.16 , 256.1k
bad , 1 , simple loop , 2 , 2 , 1 , 0.16 , 256.1k
bad , 1 , simple loop , 1 , 1 , 1 , 0.16 , 256.1k
bad , 1 , simple loop , 3 , 3 , 1 , 0.16 , 256.1k
bad , 2 , threads_sum , 2 , 1 , 2 , 0.11 , 256.1k
bad , 1 , simple loop , 4 , 4 , 1 , 0.16 , 256.1k
bad , 2 , threads_sum , 3 , 1 , 3 , 0.09 , 256.1k
bad , 1 , simple loop , 5 , 5 , 1 , 0.16 , 256.1k
bad , 2 , threads_sum , 4 , 1 , 4 , 0.07 , 256.1k
bad , 1 , simple loop , 6 , 6 , 1 , 0.16 , 256.1k
bad , 2 , threads_sum , 5 , 1 , 5 , 0.09 , 256.1k
bad , 1 , simple loop , 7 , 7 , 1 , 0.16 , 256.1k
bad , 2 , threads_sum , 6 , 1 , 6 , 0.08 , 256.1k
bad , 1 , simple loop , 8 , 8 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 8 , 8 , 1 , 1.87 , 110.0k
bad , 2 , threads_sum , 7 , 1 , 7 , 0.07 , 256.1k
bad , 1 , simple loop , 9 , 9 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 9 , 9 , 1 , 2.13 , 127.3k
bad , 2 , threads_sum , 8 , 1 , 8 , 0.06 , 256.1k
bad , 1 , simple loop , 10 , 10 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 10 , 10 , 1 , 2.46 , 145.2k
bad , 1 , simple loop , 11 , 11 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 11 , 11 , 1 , 2.7 , 162.0k
bad , 1 , simple loop , 12 , 12 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 12 , 12 , 1 , 2.98 , 179.6k
bad , 1 , simple loop , 13 , 13 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 13 , 13 , 1 , 3.42 , 200.2k
bad , 1 , simple loop , 14 , 14 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 14 , 14 , 1 , 3.56 , 216.7k
bad , 1 , simple loop , 15 , 15 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 15 , 15 , 1 , 3.82 , 234.6k
bad , 4 , mapreduce , 15 , 15 , 1 , 3.82 , 262.8k
bad , 5 , pmapsum1 , 15 , 15 , 1 , 1818.9 , 120.2m
bad , 6 , pmapsum2 , 15 , 15 , 1 , 23.4 , 6.6m
bad , 1 , simple loop , 16 , 16 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 16 , 16 , 1 , 4.09 , 252.6k
bad , 4 , mapreduce , 16 , 16 , 1 , 3.95 , 282.5k
bad , 5 , pmapsum1 , 16 , 16 , 1 , 1908.78 , 120.5m
bad , 6 , pmapsum2 , 16 , 16 , 1 , 23.45 , 6.7m
bad , 1 , simple loop , 17 , 17 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 17 , 17 , 1 , 4.02 , 279.0k
bad , 4 , mapreduce , 17 , 17 , 1 , 4.17 , 301.8k
bad , 5 , pmapsum1 , 17 , 17 , 1 , 2144.67 , 120.2m
bad , 6 , pmapsum2 , 17 , 17 , 1 , 24.12 , 6.2m
bad , 1 , simple loop , 18 , 18 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 18 , 18 , 1 , 4.25 , 304.4k
bad , 4 , mapreduce , 18 , 18 , 1 , 4.4 , 321.8k
bad , 5 , pmapsum1 , 18 , 18 , 1 , 1991.82 , 120.2m
bad , 6 , pmapsum2 , 18 , 18 , 1 , 24.76 , 6.3m
bad , 1 , simple loop , 19 , 19 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 19 , 19 , 1 , 4.65 , 324.3k
bad , 1 , simple loop , 24 , 24 , 1 , 0.16 , 256.1k
bad , 3 , parallel , 24 , 24 , 1 , 5.95 , 431.9k
bad , 4 , mapreduce , 24 , 24 , 1 , 6.13 , 437.2k
bad , 5 , pmapsum1 , 24 , 24 , 1 , 1693.43 , 120.3m
bad , 6 , pmapsum2 , 24 , 24 , 1 , 25.09 , 6.6m
